Name,Type,Population,Death Residence,Year
WINDHAM,county,116192,1048,2016
WINDHAM,county,116359,1081,2017
WINDHAM,county,116404,1278,2020
WINDHAM,county,116418,1252,2021
WINDHAM,county,116573,1083,2015
WINDHAM,county,116782,1158,2019
WINDHAM,county,116998,1036,2014
WINDHAM,county,117027,1118,2018
WINDHAM,county,117599,969,2012
WINDHAM,county,117604,1000,2013
TOLLAND,county,149767,1205,2020
TOLLAND,county,150293,1303,2021
TOLLAND,county,150721,1150,2019
TOLLAND,county,150921,1102,2018
TOLLAND,county,151118,1059,2016
TOLLAND,county,151367,1002,2014
TOLLAND,county,151377,994,2013
TOLLAND,county,151420,1033,2015
TOLLAND,county,151461,1126,2017
TOLLAND,county,151539,940,2012
MIDDLESEX,county,162436,1621,2019
MIDDLESEX,county,162682,1621,2018
MIDDLESEX,county,163329,1543,2016
MIDDLESEX,county,163410,1601,2017
MIDDLESEX,county,164063,1580,2015
MIDDLESEX,county,164063,1809,2020
MIDDLESEX,county,164759,1717,2021
MIDDLESEX,county,164943,1473,2014
MIDDLESEX,county,165562,1505,2013
MIDDLESEX,county,165602,1413,2012
LITCHFIELD,county,180333,1910,2019
LITCHFIELD,county,181111,1914,2018
LITCHFIELD,county,182177,1847,2017
LITCHFIELD,county,182571,1807,2016
LITCHFIELD,county,183603,1899,2015
LITCHFIELD,county,184938,2209,2020
LITCHFIELD,county,184993,1777,2014
LITCHFIELD,county,185000,2075,2021
LITCHFIELD,county,186924,1841,2013
LITCHFIELD,county,187530,1752,2012
NEW LONDON,county,265206,2631,2019
NEW LONDON,county,266784,2466,2018
NEW LONDON,county,268450,2794,2020
NEW LONDON,county,268805,2960,2021
NEW LONDON,county,269033,2571,2017
NEW LONDON,county,269801,2465,2016
NEW LONDON,county,271863,2435,2015
NEW LONDON,county,273676,2405,2014
NEW LONDON,county,274150,2352,2013
NEW LONDON,county,274170,2367,2012
NEW HAVEN,county,854757,8111,2019
NEW HAVEN,county,856875,7745,2016
NEW HAVEN,county,857620,7940,2018
NEW HAVEN,county,859470,8053,2015
NEW HAVEN,county,860435,7883,2017
NEW HAVEN,county,861277,7624,2014
NEW HAVEN,county,862287,7589,2013
NEW HAVEN,county,862813,7529,2012
NEW HAVEN,county,863700,8653,2021
NEW HAVEN,county,864094,9726,2020
HARTFORD,county,891720,8347,2019
HARTFORD,county,892389,7993,2016
HARTFORD,county,892697,8252,2018
HARTFORD,county,895388,8251,2017
HARTFORD,county,895841,8075,2015
HARTFORD,county,896854,8897,2021
HARTFORD,county,897259,7723,2012
HARTFORD,county,897985,7864,2014
HARTFORD,county,898272,7682,2013
HARTFORD,county,898682,10048,2020
FAIRFIELD,county,933835,6518,2012
FAIRFIELD,county,939904,6515,2013
FAIRFIELD,county,943332,6840,2019
FAIRFIELD,county,943823,6850,2018
FAIRFIELD,county,944177,6895,2016
FAIRFIELD,county,945438,6683,2014
FAIRFIELD,county,948053,6773,2015
FAIRFIELD,county,949921,6965,2017
FAIRFIELD,county,957050,8737,2020
FAIRFIELD,county,959768,7372,2021
CONNECTICUT,total,3565287,31774,2019
CONNECTICUT,total,3572665,31269,2018
CONNECTICUT,total,3576452,30556,2016
CONNECTICUT,total,3588184,31332,2017
CONNECTICUT,total,3590347,29321,2012
CONNECTICUT,total,3590886,30520,2015
CONNECTICUT,total,3596080,29602,2013
CONNECTICUT,total,3596677,29866,2014
CONNECTICUT,total,3603448,37816,2020
CONNECTICUT,total,3605597,34243,2021
UNKNOWN,county,0,1,2016
UNKNOWN,county,0,7,2017
UNKNOWN,county,0,6,2018
UNKNOWN,county,0,6,2019
UNKNOWN,county,0,10,2020
UNKNOWN,county,0,14,2021
